id;name;id;insert into internal_products (odoo_id,product_id);insert into products (id,description)
__export__.product_template_24629_ccaf8210;Apple Watch Series 10 GPS 46mm Silver Aluminium Case with Sport Band M/L Denim;51;"('__export__.product_template_24629_ccaf8210',51);";"(51,'Apple Watch Series 10 GPS 46mm Silver Aluminium Case with Sport Band M/L Denim');"
__export__.product_template_24630_de1e377c;Apple Watch Series 10 GPS 46mm Silver Aluminium Case with Sport Band S/M Denim;52;"('__export__.product_template_24630_de1e377c',52);";"(52,'Apple Watch Series 10 GPS 46mm Silver Aluminium Case with Sport Band S/M Denim');"
__export__.product_template_24631_3b53fb41;Apple Watch Series 10 GPS 46mm Silver Aluminium Case with Sport Loop Blue Cloud;53;"('__export__.product_template_24631_3b53fb41',53);";"(53,'Apple Watch Series 10 GPS 46mm Silver Aluminium Case with Sport Loop Blue Cloud');"
__export__.product_template_24632_0b4cc50d;Apple Watch Series 11 (2025) GPS 42mm Jet Black Aluminium Case with Sport Band S/M Black;54;"('__export__.product_template_24632_0b4cc50d',54);";"(54,'Apple Watch Series 11 (2025) GPS 42mm Jet Black Aluminium Case with Sport Band S/M Black');"
__export__.product_template_24633_2899f3b6;Apple Watch Series 11 (2025) GPS 42mm Rose Gold Aluminium Case with Sport Band S/M Light Blush;55;"('__export__.product_template_24633_2899f3b6',55);";"(55,'Apple Watch Series 11 (2025) GPS 42mm Rose Gold Aluminium Case with Sport Band S/M Light Blush');"
__export__.product_template_24634_4d053a68;Apple Watch Series 11 (2025) GPS 42mm Space Grey Aluminium Case with Sport Band S/M Black;56;"('__export__.product_template_24634_4d053a68',56);";"(56,'Apple Watch Series 11 (2025) GPS 42mm Space Grey Aluminium Case with Sport Band S/M Black');"
__export__.product_template_24889_65ffdd87;Apple Watch Series 11 (2025) GPS 46mm Jet Black Aluminium Case with Sport Band M/L Black;57;"('__export__.product_template_24889_65ffdd87',57);";"(57,'Apple Watch Series 11 (2025) GPS 46mm Jet Black Aluminium Case with Sport Band M/L Black');"
__export__.product_template_24888_28427514;Apple Watch Series 11 (2025) GPS 46mm Rose Gold Aluminium Case with Sport Band M/L Light Blush;58;"('__export__.product_template_24888_28427514',58);";"(58,'Apple Watch Series 11 (2025) GPS 46mm Rose Gold Aluminium Case with Sport Band M/L Light Blush');"
__export__.product_template_24635_7ec2a1cc;Apple Watch Series 11 (2025) GPS 46mm Silver Aluminium Case with Sport Band M/L Purple Fog;59;"('__export__.product_template_24635_7ec2a1cc',59);";"(59,'Apple Watch Series 11 (2025) GPS 46mm Silver Aluminium Case with Sport Band M/L Purple Fog');"
__export__.product_template_24636_431adf3b;Apple Watch Series 11 (2025) GPS 46mm Space Grey Aluminium Case with Sport Band M/L Black;60;"('__export__.product_template_24636_431adf3b',60);";"(60,'Apple Watch Series 11 (2025) GPS 46mm Space Grey Aluminium Case with Sport Band M/L Black');"
__export__.product_template_24637_972bb43b;Apple Watch Series 11 (2025) GPS 46mm Space Grey Aluminium Case with Sport Band S/M Black;61;"('__export__.product_template_24637_972bb43b',61);";"(61,'Apple Watch Series 11 (2025) GPS 46mm Space Grey Aluminium Case with Sport Band S/M Black');"
__export__.product_template_23269_9bc20cb5;Apple Watch Ultra 2 (2023) LTE 49mm Natural Titanium Case with Alpine Loop L Indigo;62;"('__export__.product_template_23269_9bc20cb5',62);";"(62,'Apple Watch Ultra 2 (2023) LTE 49mm Natural Titanium Case with Alpine Loop L Indigo');"
__export__.product_template_23270_80b145d9;Apple Watch Ultra 2 (2023) LTE 49mm Natural Titanium Case with Trail Loop M/L Green/Grey;63;"('__export__.product_template_23270_80b145d9',63);";"(63,'Apple Watch Ultra 2 (2023) LTE 49mm Natural Titanium Case with Trail Loop M/L Green/Grey');"
__export__.product_template_23271_bea51a55;Apple Watch Ultra 2 (2023) LTE 49mm Natural Titanium Case with Trail Loop S/M Green/Grey;64;"('__export__.product_template_23271_bea51a55',64);";"(64,'Apple Watch Ultra 2 (2023) LTE 49mm Natural Titanium Case with Trail Loop S/M Green/Grey');"
__export__.product_template_24638_b0f9fcfd;Apple Watch Ultra 2 (2024) LTE 49mm Black Titanium Case with Alpine Loop L Dark Green;65;"('__export__.product_template_24638_b0f9fcfd',65);";"(65,'Apple Watch Ultra 2 (2024) LTE 49mm Black Titanium Case with Alpine Loop L Dark Green');"
__export__.product_template_24639_c56c1ea3;Apple Watch Ultra 2 (2024) LTE 49mm Natural Titanium Case with Alpine Loop M Almond;66;"('__export__.product_template_24639_c56c1ea3',66);";"(66,'Apple Watch Ultra 2 (2024) LTE 49mm Natural Titanium Case with Alpine Loop M Almond');"
__export__.product_template_24640_f8ae58a1;Apple Watch Ultra 3 (2025) 5G 49mm Black Titanium Case with Alpine Loop M Black;67;"('__export__.product_template_24640_f8ae58a1',67);";"(67,'Apple Watch Ultra 3 (2025) 5G 49mm Black Titanium Case with Alpine Loop M Black');"
__export__.product_template_24641_5bf30f45;Apple Watch Ultra 3 (2025) 5G 49mm Black Titanium Case with Trail Loop M/L Black/Charcoal;68;"('__export__.product_template_24641_5bf30f45',68);";"(68,'Apple Watch Ultra 3 (2025) 5G 49mm Black Titanium Case with Trail Loop M/L Black/Charcoal');"
__export__.product_template_24642_ebfb21f4;Apple Watch Ultra 3 (2025) 5G 49mm Black Titanium Case with Trail Loop S/M Black/Charcoal;69;"('__export__.product_template_24642_ebfb21f4',69);";"(69,'Apple Watch Ultra 3 (2025) 5G 49mm Black Titanium Case with Trail Loop S/M Black/Charcoal');"
__export__.product_template_24643_f100c112;Apple Watch Ultra 3 (2025) 5G 49mm Natural Titanium Case with Natural Titanium Milanese Loop S Natural;70;"('__export__.product_template_24643_f100c112',70);";"(70,'Apple Watch Ultra 3 (2025) 5G 49mm Natural Titanium Case with Natural Titanium Milanese Loop S Natural');"
__export__.product_template_24644_e03bad2c;Apple Watch Ultra 3 (2025) 5G 49mm Natural Titanium Case with Ocean Band Anchor Blue;71;"('__export__.product_template_24644_e03bad2c',71);";"(71,'Apple Watch Ultra 3 (2025) 5G 49mm Natural Titanium Case with Ocean Band Anchor Blue');"
__export__.product_template_24890_b1370be9;Apple Watch Ultra 3 (2025) 5G 49mm Natural Titanium Case with Trail Loop M/L Blue/Bright Blue;72;"('__export__.product_template_24890_b1370be9',72);";"(72,'Apple Watch Ultra 3 (2025) 5G 49mm Natural Titanium Case with Trail Loop M/L Blue/Bright Blue');"
__export__.product_template_22404_73bd4746;Apple chargeur 20W USB-C - MUVV3ZM/A;73;"('__export__.product_template_22404_73bd4746',73);";"(73,'Apple chargeur 20W USB-C - MUVV3ZM/A');"
__export__.product_template_24646_d148a645;Apple chargeur 35W Dual USB-C - MNWP3ZM/A;74;"('__export__.product_template_24646_d148a645',74);";"(74,'Apple chargeur 35W Dual USB-C - MNWP3ZM/A');"
__export__.product_template_24367_ac5a7e77;Apple chargeur 35W Dual USB-C - MNWP3ZM/A ;75;"('__export__.product_template_24367_ac5a7e77',75);";"(75,'Apple chargeur 35W Dual USB-C - MNWP3ZM/A ');"
__export__.product_template_22407_8371a016;Apple chargeur magsafe 15W - MHXH3ZM/A;76;"('__export__.product_template_22407_8371a016',76);";"(76,'Apple chargeur magsafe 15W - MHXH3ZM/A');"
__export__.product_template_24365_486f33b2;Apple câble USB A/LIGHTNING (60W) - 0.5M white - ME291ZM/A;77;"('__export__.product_template_24365_486f33b2',77);";"(77,'Apple câble USB A/LIGHTNING (60W) - 0.5M white - ME291ZM/A');"
